company_name,company_follow_key,followed_on,days_since_followed,match_method,match_confidence,matched_connection_company_keys,matched_connection_count,likely_company_category,likely_opportunity_bucket,follow_signal_confidence,company_follow_reason
Tree Immersion Technologies,tree immersion,2026-08-12,19,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Prodezk,prodezk,2026-08-11,20,exact_normalized,0.95,prodezk,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
SGS,sgs,2026-08-11,20,exact_normalized,0.95,sgs,2,GLOBAL_CONSULTING,GLOBAL_CONSULTING,0.9,exact company dictionary match: sgs
Miner,miner,2026-08-06,25,exact_normalized,0.95,miner,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Remote Jobs,remote jobs,2026-08-05,26,no_match,0.0,,0,,GLOBAL_OPPORTUNITY,0.7,international/remote keyword in company name
Charterhouse Partnership,charterhouse partnership,2026-08-05,26,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
George Bernard Consulting | Jobs,george bernard jobs,2026-08-04,27,substring_containment,0.85,george bernard,1,GLOBAL_CONSULTING,GLOBAL_OPPORTUNITY,0.75,consulting/advisory keyword in company name
Listo,listo,2026-08-04,27,exact_normalized,0.95,listo,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Halian,halian,2026-08-04,27,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
AjaxTI,ajaxti,2026-08-03,28,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
KPMG Middle East,kpmg middle east,2026-08-01,30,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Vagas GSW Software,vagas gsw software,2026-07-31,31,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Klube Capital,klube capital,2026-07-29,33,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Naresh i Technologies,naresh i,2026-07-27,35,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Entrepreneur Stories,entrepreneur stories,2026-07-25,37,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Adastra,adastra,2026-07-25,37,exact_normalized,0.95,adastra,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Mitratech,mitratech,2026-07-22,40,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
The Right Hire Latam,the right hire,2026-07-22,40,no_match,0.0,,0,,LATAM_USD_LIKELY,0.85,LATAM/nearshore keyword in company name
Ascentt,ascentt,2026-07-22,40,exact_normalized,0.95,ascentt,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Joyit,joyit,2026-07-21,41,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Knowtrex GmbH,knowtrex,2026-07-20,42,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Muttdata,muttdata,2026-07-17,45,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
TechBridge,techbridge,2026-07-17,45,exact_normalized,0.95,techbridge,2,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
FitNext Co.,fitnext,2026-07-16,46,token_overlap_fuzzy,0.78,fitnext co,2,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
CLOOUD,clooud,2026-07-16,46,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
AIVI (previously known as 6thStreet),aivi previously known as 6thstreet,2026-07-16,46,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Kopius,kopius,2026-07-16,46,exact_normalized,0.95,kopius,2,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Instituto Daryus,instituto daryus,2026-07-15,47,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Mas Insights,mas insights,2026-07-14,48,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Data Meaning,data meaning,2026-07-11,51,exact_normalized,0.95,data meaning,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Munich Re Specialty,munich re specialty,2026-07-11,51,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
PiplNow LLC,piplnow,2026-07-07,55,exact_normalized,0.95,piplnow,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Pixida do Brasil,pixida do,2026-07-06,56,exact_normalized,0.95,pixida do,2,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Key2 Research,key2 research,2026-07-06,56,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Talentful,talentful,2026-07-04,58,exact_normalized,0.95,talentful,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
NewPoint Information Technology Consulting,newpoint information,2026-07-03,59,substring_containment,0.85,newpoint information and,1,GLOBAL_CONSULTING,GLOBAL_OPPORTUNITY,0.75,consulting/advisory keyword in company name
Principal Financial Group,principal financial,2026-07-03,59,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
NIR-YU,nir yu,2026-07-02,60,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Prosas,prosas,2026-07-02,60,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
TeamUp,teamup,2026-07-02,60,exact_normalized,0.95,teamup,3,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
INFOMOTION GmbH,infomotion,2026-07-02,60,exact_normalized,0.95,infomotion,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Grupo Educacional Primum,grupo educacional primum,2026-07-02,60,exact_normalized,0.95,grupo educacional primum,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Exadel People,exadel people,2026-07-01,61,token_overlap_fuzzy,0.78,exadel,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Insi,insi,2026-07-01,61,exact_normalized,0.95,insi,9,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
BIGCORE,bigcore,2026-07-01,61,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
ExploreK12,explorek12,2026-07-01,61,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Nitka,nitka,2026-06-30,62,exact_normalized,0.95,nitka,2,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
WPP Enterprise Solutions,wpp enterprise,2026-06-30,62,exact_normalized,0.95,wpp enterprise,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Infracommerce Latam,infracommerce,2026-06-29,63,exact_normalized,0.95,infracommerce,1,,LATAM_USD_LIKELY,0.85,LATAM/nearshore keyword in company name
Hireincrypto,hireincrypto,2026-06-26,66,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Extractta,extractta,2026-06-25,67,exact_normalized,0.95,extractta,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Latino Legends,latino legends,2026-06-24,68,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Sylvamo,sylvamo,2026-06-23,69,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Neohype,neohype,2026-06-23,69,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Cteam-Gruppe,cteam gruppe,2026-06-23,69,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Insight Kitchen,insight kitchen,2026-06-22,70,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
BasaGo Jobs,basago jobs,2026-06-19,73,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
National Armaments Director Group,national armaments director,2026-06-17,75,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Nimble.LA,nimble la,2026-06-16,76,token_overlap_fuzzy,0.78,nimble gravity; nimble.la,3,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Onze IT,onze it,2026-06-16,76,exact_normalized,0.95,onze it,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
OCX,ocx,2026-06-11,81,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
NJF Global Holdings Ltd,njf,2026-06-09,83,exact_normalized,0.95,njf,1,,GLOBAL_OPPORTUNITY,0.7,international/remote keyword in company name
JobMetasearch,jobmetasearch,2026-06-09,83,exact_normalized,0.95,jobmetasearch,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Zukk,zukk,2026-06-08,84,exact_normalized,0.95,zukk,2,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Alphabyte AI,alphabyte ai,2026-06-05,87,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Associação Comercial do Paraná,associacao comercial do parana,2026-06-03,89,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
TRACTIAN,tractian,2026-06-02,90,no_match,0.0,,0,,BRAZIL_CONFIRMED,0.9,exact company dictionary match: tractian
Creditsafe,creditsafe,2026-06-02,90,exact_normalized,0.95,creditsafe,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
LinkedIn Guide to Creating,linkedin guide to creating,2026-06-01,91,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Hotnews.pt,hotnews pt,2026-05-29,94,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
JUIT,juit,2026-05-28,95,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
GL events,gl events,2026-05-28,95,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
ANDRITZ Brazil,andritz,2026-05-28,95,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Sinapse,sinapse,2026-05-26,97,token_overlap_fuzzy,0.78,sinapse educação corporativa,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Talento,talento,2026-05-25,98,exact_normalized,0.95,talento,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Options Consulting Solutions,options,2026-05-21,102,exact_normalized,0.95,options,1,GLOBAL_CONSULTING,GLOBAL_OPPORTUNITY,0.75,consulting/advisory keyword in company name
Voy,voy,2026-05-19,104,exact_normalized,0.95,voy,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Press Ganey,press ganey,2026-05-18,105,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
AMB Sports and Entertainment,amb sports and entertainment,2026-05-18,105,exact_normalized,0.95,amb sports and entertainment,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
We Are Fiber,we are fiber,2026-05-18,105,exact_normalized,0.95,we are fiber,1,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Mokkup.ai,mokkup ai,2026-05-18,105,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Recodme,recodme,2026-05-18,105,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
ecos work spaces,ecos work spaces,2026-05-15,108,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
Atain,atain,2026-05-15,108,no_match,0.0,,0,,,0.0,"no company dictionary, keyword, or market signal found — needs manual review"
